  CODE BEGUN..........................

  Simulation Parameters are nx, ny, dx, dy, w, errormax,tmax, dt, Re 
         130         130   7.69230770E-03   7.69230770E-03   1.79999995       9.99999997E-07   5.00000000       1.00000005E-03   100.000000    

 Initialising the domain ..........................

 Initiating Calculations ..........................

 time,  Error_x-AD,  Error_y-AD,  Error_PPE
  0.264000148       8.64267349E-07   1.49011612E-07   9.92789865E-07
  0.265000135       8.67992640E-07   1.19209290E-07   9.98377800E-07
  0.266000122       8.67992640E-07   1.78813934E-07   9.87201929E-07
  0.267000109       8.67992640E-07   1.78813934E-07   9.90927219E-07
  0.268000096       8.64267349E-07   1.49011612E-07   9.90927219E-07
  0.269000083       8.67992640E-07   2.08616257E-07   9.90927219E-07
  0.270000070       8.67992640E-07   1.78813934E-07   9.95933078E-07
  0.271000057       8.71717930E-07   1.78813934E-07   9.95816663E-07
  0.272000045       8.67992640E-07   1.49011612E-07   9.98028554E-07
  0.273000032       8.71717930E-07   1.49011612E-07   9.95583832E-07
  0.274000019       8.71717930E-07   1.49011612E-07   9.95576556E-07
  0.275000006       8.71717930E-07   1.78813934E-07   9.95874871E-07
  0.275999993       8.75443220E-07   2.08616257E-07   9.95991286E-07
  0.276999980       8.67992640E-07   1.49011612E-07   9.97486495E-07
  0.277999967       8.67992640E-07   1.78813934E-07   9.99134500E-07
  0.278999954       8.75443220E-07   1.78813934E-07   9.95445589E-07
  0.279999942       8.79168510E-07   1.49011612E-07   9.96165909E-07
  0.280999929       8.79168510E-07   1.49011612E-07   9.96165909E-07
  0.281999916       8.71717930E-07   1.49011612E-07   9.96646122E-07
  0.282999903       8.79168510E-07   1.49011612E-07   9.96602466E-07
  0.283999890       8.75443220E-07   2.08616257E-07   9.99541953E-07
  0.284999877       8.75443220E-07   1.78813934E-07   9.97912139E-07
  0.285999864       8.75443220E-07   1.78813934E-07   9.95118171E-07
  0.286999851       8.75443220E-07   1.49011612E-07   9.95583832E-07
  0.287999839       8.71717930E-07   2.08616257E-07   9.97446477E-07
  0.288999826       8.75443220E-07   1.78813934E-07   9.93721187E-07
  0.289999813       8.75443220E-07   1.49011612E-07   9.92789865E-07
  0.290999800       8.79168510E-07   1.78813934E-07   9.90927219E-07
  0.291999787       8.75443220E-07   1.78813934E-07   9.95583832E-07
  0.292999774       8.75443220E-07   1.78813934E-07   9.98377800E-07
  0.293999761       8.75443220E-07   1.78813934E-07   9.92789865E-07
  0.294999748       8.75443220E-07   1.78813934E-07   9.98377800E-07
  0.295999736       8.71717930E-07   1.78813934E-07   9.92789865E-07
  0.296999723       8.79168510E-07   2.08616257E-07   9.96515155E-07
  0.297999710       8.67992640E-07   2.08616257E-07   9.96515155E-07
  0.298999697       8.71717930E-07   2.08616257E-07   9.92789865E-07
  0.299999684       8.71717930E-07   1.78813934E-07   9.97810275E-07
  0.300999671       8.71717930E-07   1.49011612E-07   9.98864380E-07
  0.301999658       8.67992640E-07   1.49011612E-07   9.97388270E-07
  0.302999645       8.64267349E-07   2.08616257E-07   9.90192348E-07
  0.303999633       8.67992640E-07   1.49011612E-07   9.93371941E-07
  0.304999620       8.67992640E-07   1.78813934E-07   9.93983122E-07
  0.305999607       8.64267349E-07   1.49011612E-07   9.93881258E-07
  0.306999594       8.71717930E-07   1.78813934E-07   9.94237780E-07
  0.307999581       8.67992640E-07   1.49011612E-07   9.95540177E-07
  0.308999568       8.71717930E-07   1.78813934E-07   9.98610631E-07
  0.309999555       8.71717930E-07   1.78813934E-07   9.91756679E-07
  0.310999542       8.67992640E-07   2.08616257E-07   9.94303264E-07
  0.311999530       8.67992640E-07   1.78813934E-07   9.94186848E-07
  0.312999517       8.67992640E-07   1.49011612E-07   9.98523319E-07
  0.313999504       8.71717930E-07   1.49011612E-07   9.98363248E-07
  0.314999491       8.60542059E-07   1.49011612E-07   9.99425538E-07
  0.315999478       8.67992640E-07   1.78813934E-07   9.94070433E-07
  0.316999465       8.64267349E-07   1.49011612E-07   9.99774784E-07
  0.317999452       8.67992640E-07   1.78813934E-07   9.94186848E-07
  0.318999439       8.71717930E-07   1.78813934E-07   9.93721187E-07
  0.319999427       8.64267349E-07   1.49011612E-07   9.97446477E-07
  0.320999414       8.67992640E-07   1.49011612E-07   9.96515155E-07
  0.321999401       8.64267349E-07   1.78813934E-07   9.92789865E-07
  0.322999388       8.64267349E-07   1.78813934E-07   9.96515155E-07
  0.323999375       8.67992640E-07   1.49011612E-07   9.92789865E-07
  0.324999362       8.67992640E-07   2.08616257E-07   9.98377800E-07
  0.325999349       8.75443220E-07   2.08616257E-07   9.92789865E-07
  0.326999336       8.67992640E-07   2.08616257E-07   9.98377800E-07
  0.327999324       8.67992640E-07   1.49011612E-07   9.98377800E-07
  0.328999311       8.67992640E-07   1.78813934E-07   9.96515155E-07
  0.329999298       8.71717930E-07   1.78813934E-07   9.98377800E-07
  0.330999285       8.67992640E-07   1.78813934E-07   9.92338755E-07
  0.331999272       8.71717930E-07   1.78813934E-07   9.90301487E-07
  0.332999259       8.67992640E-07   1.78813934E-07   9.93161848E-07
  0.333999246       8.71717930E-07   1.78813934E-07   9.99374606E-07
  0.334999233       8.75443220E-07   1.49011612E-07   9.94245056E-07
  0.335999221       8.67992640E-07   1.78813934E-07   9.97446477E-07
  0.336999208       8.75443220E-07   1.78813934E-07   9.95118171E-07
  0.337999195       8.71717930E-07   1.78813934E-07   9.92062269E-07
  0.338999182       8.75443220E-07   1.78813934E-07   9.95933078E-07
  0.339999169       8.75443220E-07   1.49011612E-07   9.97039024E-07
  0.340999156       8.79168510E-07   1.78813934E-07   9.96602466E-07
  0.341999143       8.71717930E-07   2.08616257E-07   9.97475581E-07
  0.342999130       8.75443220E-07   2.08616257E-07   9.92469722E-07
  0.343999118       8.67992640E-07   1.78813934E-07   9.97853931E-07
  0.344999105       8.75443220E-07   2.08616257E-07   9.94710717E-07
  0.345999092       8.71717930E-07   1.78813934E-07   9.98610631E-07
  0.346999079       8.67992640E-07   1.78813934E-07   9.94186848E-07
  0.347999066       8.71717930E-07   1.78813934E-07   9.94186848E-07
  0.348999053       8.75443220E-07   1.78813934E-07   9.93255526E-07
  0.349999040       8.71717930E-07   1.49011612E-07   9.94186848E-07
  0.350999027       8.67992640E-07   2.38418579E-07   9.93721187E-07
  0.351999015       8.67992640E-07   1.78813934E-07   9.97446477E-07
