           1   4.000000       2.500000             102          62
 
 Time  U   V  P
   101.9789     -0.2129494     -0.5944579       3.594123    
   101.9839     -0.2150347     -0.5945690       3.595477    
   101.9889     -0.2171268     -0.5946465       3.596873    
   101.9939     -0.2192245     -0.5946907       3.598200    
   101.9989     -0.2213270     -0.5947027       3.599468    
   102.0039     -0.2234345     -0.5946810       3.600735    
   102.0089     -0.2255456     -0.5946271       3.601909    
   102.0139     -0.2276605     -0.5945399       3.603081    
   102.0189     -0.2297785     -0.5944199       3.604192    
   102.0239     -0.2318997     -0.5942655       3.605296    
   102.0289     -0.2340221     -0.5940797       3.606288    
   102.0339     -0.2361467     -0.5938596       3.607307    
   102.0389     -0.2382728     -0.5936058       3.608264    
   102.0439     -0.2403996     -0.5933180       3.609190    
   102.0489     -0.2425261     -0.5929974       3.610042    
   102.0539     -0.2446524     -0.5926425       3.610891    
   102.0589     -0.2467778     -0.5922537       3.611689    
   102.0639     -0.2489019     -0.5918303       3.612457    
   102.0689     -0.2510239     -0.5913727       3.613180    
   102.0739     -0.2531444     -0.5908793       3.613895    
   102.0789     -0.2552607     -0.5903528       3.614532    
   102.0839     -0.2573737     -0.5897909       3.615168    
   102.0889     -0.2594832     -0.5891929       3.615782    
   102.0938     -0.2615874     -0.5885606       3.616338    
   102.0988     -0.2636864     -0.5878929       3.616880    
   102.1038     -0.2657802     -0.5871887       3.617405    
   102.1088     -0.2678671     -0.5864498       3.617883    
   102.1138     -0.2699479     -0.5856736       3.618364    
   102.1188     -0.2720210     -0.5848621       3.618802    
   102.1238     -0.2740864     -0.5840141       3.619229    
   102.1288     -0.2761440     -0.5831284       3.619643    
   102.1338     -0.2781921     -0.5822071       3.620020    
   102.1388     -0.2802308     -0.5812488       3.620387    
   102.1438     -0.2822599     -0.5802522       3.620744    
   102.1488     -0.2842793     -0.5792166       3.621086    
   102.1538     -0.2862869     -0.5781447       3.621393    
   102.1588     -0.2882828     -0.5770350       3.621694    
   102.1638     -0.2902666     -0.5758863       3.621980    
